Rank;Title;Release Year;Duration;Age Rating;Rating;Amount of Reviews
180;Million Dollar Baby;2004;2h 12m;11;8.1;720000
181;Harry Potter og dødstalismanene - del 2;2011;2h 10m;12;8.1;945000
182;Himmelens barn;1997;1h 29m;A;8.2;80000
183;12 Years a Slave;2013;2h 14m;15;8.1;740000
184;Blade Runner;1982;1h 57m;15;8.1;821000
185;Før soloppgang;1995;1h 41m;7;8.1;338000
186;Ben-Hur;1959;3h 32m;11;8.1;253000
187;The Grand Budapest Hotel;2014;1h 39m;11;8.1;884000
188;Barry Lyndon;1975;3h 5m;A;8.1;183000
189;Gone Girl;2014;2h 29m;15;8.1;1.1M
190;Hacksaw Ridge;2016;2h 19m;15;8.1;591000
191;Gullfeber;1925;1h 35m;A;8.1;118000
192;Memories of Murder;2003;2h 11m;15;8.1;215000
193;I fars navn;1993;2h 13m;15;8.1;187000
194;Dagen er din;1989;2h 8m;10;8.1;543000
195;Storbyhavnen;1954;1h 48m;16;8.1;164000
196;Dagens helt;1926;1h 18m;A;8.1;98000
197;Hjortejegeren;1978;3h 3m;15;8.1;361000
198;Wild Tales;2014;2h 2m;11;8.1;216000
199;Mad Max: Fury Road;2015;2h;15;8.1;1.1M
200;Monsterbedriften;2001;1h 32m;7;8.1;976000
201;Sherlock Jr.;1924;45m;A;8.2;57000
202;Den tredje mann;1949;1h 44m;15;8.1;181000
203;Jordbærstedet;1957;1h 31m;15;8.1;115000
204;Fryktens lønn;1953;2h 11m;12;8.2;66000
205;Haisommer;1975;2h 4m;15;8.1;657000
206;Dragetreneren;2010;1h 38m;7;8.1;798000
207;Mary og Max;2009;1h 32m;Not Rated;8.1;186000
208;Mr. Smith kommer til Washington;1939;2h 9m;A;8.1;121000
209;Rottatouille;2007;1h 51m;7;8.1;821000
210;Le Mans '66;2019;2h 32m;9;8.1;469000
211;Den store Lebowski;1998;1h 57m;15;8.1;858000
212;Tokyo Story;1953;2h 16m;A;8.1;68000
213;Det syvende segl;1957;1h 36m;12;8.1;198000
214;Room;2015;1h 58m;12;8.1;449000
215;Rocky;1976;2h;15;8.1;627000
216;Logan: The Wolverine;2017;2h 17m;15;8.1;828000
217;Spotlight;2015;2h 9m;A;8.1;501000
218;Hotel Rwanda;2004;2h 1m;15;8.1;371000
219;Platoon;1986;2h;15;8.1;438000
220;Terminator;1984;1h 47m;15;8.1;921000
221;Jeanne d'Arc;1928;1h 50m;9;8.1;60000
222;Før solnedgang;2004;1h 20m;A;8.1;287000
223;Hatet;1995;1h 38m;15;8.1;195000
224;De beste år av vårt liv;1946;2h 50m;A;8.1;70000
225;Exorcisten;1973;2h 2m;15;8.1;453000
226;Pirates of the Caribbean;2003;2h 23m;11;8.1;1.2M
227;Rush;2013;2h 3m;11;8.1;512000
228;Jai Bhim;2021;2h 44m;Approved;8.7;217000
229;Network;1976;2h 1m;15;8.1;170000
230;Venner for livet;1986;1h 29m;12;8.1;440000
231;Trollmannen fra Oz;1939;1h 42m;A;8.1;428000
232;De utrolige;2004;1h 55m;7;8.0;806000
233;Hachiko: A Dog's Story;2009;1h 33m;7;8.1;310000
234;Kammerpiken;2016;2h 25m;15;8.1;172000
235;Into the Wild;2007;2h 28m;11;8.1;657000
236;Babam ve Oglum;2005;1h 52m;Not Rated;8.2;92000
237;Sound of Music;1965;2h 52m;A;8.1;260000
238;Vredens druer;1940;2h 9m;12;8.1;100000
239;Kampen om Algerie;1966;2h 1m;15;8.1;65000
240;Å være eller ikke være;1942;1h 39m;16;8.1;43000
241;En ny dag truer;1993;1h 41m;7;8.0;683000
242;Elskede kjøtere;2000;2h 34m;15;8.1;252000
243;Rebecca;1940;2h 10m;7;8.1;146000
244;Rebell i lenker;1967;2h 7m;12;8.1;188000
245;Gutten og jernkjempen;1999;1h 26m;7;8.1;226000
246;Barnepiken;2011;2h 26m;7;8.1;491000
247;Det hendte en natt;1934;1h 45m;16;8.1;112000
248;Aladdin;1992;1h 30m;7;8.0;465000
249;Danser med ulver;1990;3h 1m;15;8.0;290000
250;Paris, Texas;1984;2h 25m;A;8.1;118000
